src_id,src_name,src_glon,src_glat,nhi,sig_nhi,nhi_thin,star_id,r_med,ew_ki_ism,amp_ki_ism,res_max_ki_ism,ki_ism_vlsr_obs,ki_ism_avg_vlsr_obs,ki_ism_sig_vlsr_obs,emt_min_vlsr,vlsr_hi_ki_diff,vlsr_diff_min,n_nearby_stars
0,J001424-733911,306.4943353680667,-43.21804746655667,2.730491173707554,0.2978165579124652,2.646857393099014,140811005001115,673.5303344726562,0.0443135797977447,0.0939948236960808,0.1050736961422016,-6.150478294546662,-6.150478294546662,5.0,-2.045776029749052,4.104702264797611,4.104702264797611,1
1,J002144-741500,305.6690962780888,-42.72018681748045,3.1641459520269186,0.3998559248833802,3.152546592921088,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
2,J002223-742825,305.5625417073237,-42.505801310798994,2.9093528592368134,0.249468391610783,2.8237517491995936,141104003301004,1327.22998046875,0.0328363142907619,0.1266837064199547,0.1325252689951476,3.705639579846798,3.705639579846798,5.0,1.2256031604472757,2.4800364193995224,2.4800364193995224,1
3,J002248-734007,305.6921770836646,-43.30572836425145,3.1554605523448074,0.2138484403804468,2.971679087098555,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
4,J002335-735529,305.5654628031906,-43.06075827841134,2.635446027933405,0.2346398498117414,2.824470038316589,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
5,J002337-735529,305.56224378074296,-43.06101016049247,2.8590976729449515,0.3222153114408185,2.8577309609734494,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
6,J002907-735349,305.0496637464756,-43.139415451722925,3.225555544256957,1.0987844169628986,3.2180442125365567,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
7,J003412-733314,304.6123308214911,-43.5178787522379,3.095747161715845,0.5460947107875165,3.046042107701431,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
8,J003414-733327,304.60855105258173,-43.51456609791139,2.995496241935608,0.7053979878107827,2.961327463333142,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
9,J003424-721143,304.7673734834136,-44.87214018182572,2.9094000844738543,0.3257971221491726,2.75444657227804,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
